Nursery	Species	Isolate	Trial	Rep	Mef EC50	Phos Acid EC50
A	plurivora	A-1	1	1	108.8950082	7.302813855
A	plurivora	A-1	1	2	107.8309971	22.28266355
A	plurivora	A-1	1	3	126.050391	63.42402227
A	plurivora	A-1	2	4	166.5058112	120.1902808
A	plurivora	A-1	2	5	155.9458516	117.7897002
A	plurivora	A-1	2	6	165.2598917	227.2014067
A	plurivora	A-13	1	1	19.19549869	577.9795008
A	plurivora	A-13	1	2	14.02044055	878.3658957
A	plurivora	A-13	1	3	15.04640626	712.925899
A	plurivora	A-13	2	4	101.8522269	586.3023948
A	plurivora	A-13	2	5	93.90636911	485.1389612
A	plurivora	A-13	2	6	104.4774004	1059.734176
A	plurivora	A-19	1	1	344.0225673	*
A	plurivora	A-19	1	2	341.5698601	*
A	plurivora	A-19	1	3	329.1302208	*
A	plurivora	A-19	2	4	210.8547477	*
A	plurivora	A-19	2	5	214.6632457	*
A	plurivora	A-19	2	6	207.298113	*
A	plurivora	A-20	1	1	313.8994487	213.2804155
A	plurivora	A-20	1	2	304.1607676	250.723857
A	plurivora	A-20	1	3	311.453252	144.7927748
A	plurivora	A-20	2	4	263.1505066	128.7098456
A	plurivora	A-20	2	5	284.8353665	124.6291328
A	plurivora	A-20	2	6	304.0858097	106.7830631
B	plurivora	B-1_3	1	1	66.79954829	2.734699453
B	plurivora	B-1_3	1	2	45.12811521	2.187473011
B	plurivora	B-1_3	1	3	29.18849759	7.08565409
B	plurivora	B-1_3	2	4	36.09249386	13.45138277
B	plurivora	B-1_3	2	5	27.56392611	7.588322223
B	plurivora	B-1_3	2	6	32.91739796	13.6125172
B	plurivora	B-2_1	1	1	0.641443442	12.28677396
B	plurivora	B-2_1	1	2	0.746467999	10.63076754
B	plurivora	B-2_1	1	3	0.639954093	13.93847848
B	plurivora	B-2_1	2	4	1.073685993	17.69107183
B	plurivora	B-2_1	2	5	0.974997771	16.8751995
B	plurivora	B-2_1	2	6	0.982308936	13.63102193
B	plurivora	B-3_2	1	1	1.10364203	18.3607716
B	plurivora	B-3_2	1	2	1.810676556	6.648834336
B	plurivora	B-3_2	1	3	1.752261133	18.40214211
B	plurivora	B-3_2	2	4	1.825638842	53.38162731
B	plurivora	B-3_2	2	5	2.016304768	44.16716539
B	plurivora	B-3_2	2	6	1.75010446	63.47140406
B	plurivora	B-4_1	1	1	1.311344185	22.87914888
B	plurivora	B-4_1	1	2	1.217978526	37.04773727
B	plurivora	B-4_1	1	3	1.137091359	28.64917923
B	plurivora	B-4_1	2	4	2.356748427	18.77718709
B	plurivora	B-4_1	2	5	2.550478284	24.03795893
B	plurivora	B-4_1	2	6	1.964019031	18.77718709
B	plurivora	B-5	1	1	77.60947089	25.27986999
B	plurivora	B-5	1	2	83.71435203	22.40647538
B	plurivora	B-5	1	3	52.13050391	50.41292744
B	plurivora	B-5	2	4	41.35668437	53.87105094
B	plurivora	B-5	2	5	54.67240978	57.80059602
B	plurivora	B-5	2	6	43.70032578	42.34525874
B	plurivora	B-6_1	1	1	2.252370545	23.04902679
B	plurivora	B-6_1	1	2	2.118441893	31.83900828
B	plurivora	B-6_1	1	3	1.891159491	33.36391687
B	plurivora	B-6_1	2	4	2.713823906	25.50090264
B	plurivora	B-6_1	2	5	1.958131763	33.8310602
B	plurivora	B-6_1	2	6	1.97541943	48.53102769
B	plurivora	B-7	1	1	2.212315092	16.95440876
B	plurivora	B-7	1	2	2.553500355	19.3925319
B	plurivora	B-7	1	3	2.661733396	24.46743339
B	plurivora	B-7	2	4	5.7147436	23.816969
B	plurivora	B-7	2	5	5.696250602	11.13490647
B	plurivora	B-7	2	6	6.745576375	13.18805974
B	plurivora	B-8_1	1	1	134.6738423	13.01270679
B	plurivora	B-8_1	1	2	101.0796423	19.35070421
B	plurivora	B-8_1	1	3	136.2714525	9.222885642
B	plurivora	B-8_1	2	4	57.86305562	37.71364458
B	plurivora	B-8_1	2	5	64.92278263	41.76847289
B	plurivora	B-8_1	2	6	58.01814	428.9067531
B	plurivora	B-9	1	1	21.88938609	7.450462664
B	plurivora	B-9	1	2	21.42230405	4.16785725
B	plurivora	B-9	1	3	19.78743962	5.844006859
B	plurivora	B-9	2	4	16.69329283	111.5417659
B	plurivora	B-9	2	5	16.57929535	137.6177208
B	plurivora	B-9	2	6	12.62357758	38.2742472
B	plurivora	B-10_1	1	1	0.94384273	0.783211762
B	plurivora	B-10_1	1	2	0.822153882	0.382521449
B	plurivora	B-10_1	1	3	0.878036543	0.252768312
B	plurivora	B-10_1	2	4	0.780189645	6.928935939
B	plurivora	B-10_1	2	5	0.905247857	7.559874423
B	plurivora	B-10_1	2	6	0.671366995	8.541115012
B	plurivora	B-11	1	1	7.630280425	6.067984502
B	plurivora	B-11	1	2	6.873439386	4.959248239
